Region,1 Jan,1 Jan,1 Jan,1 Jan,2 Jan,2 Jan,2 Jan,2 Jan,3 Jan,3 Jan,3 Jan,3 Jan,4 Jan,4 Jan,4 Jan,4 Jan,5 Jan,5 Jan,5 Jan,5 Jan,6 Jan,6 Jan,6 Jan,6 Jan,7 Jan,7 Jan,7 Jan,7 Jan,8 Jan,8 Jan,8 Jan,8 Jan,9 Jan,9 Jan,9 Jan,9 Jan,10 Jan,10 Jan,10 Jan,10 Jan,11 Jan,11 Jan,11 Jan,11 Jan,12 Jan,12 Jan,12 Jan,12 Jan,13 Jan,13 Jan,13 Jan,13 Jan,14 Jan,14 Jan,14 Jan,14 Jan,15 Jan,15 Jan,15 Jan,15 Jan,16 Jan,16 Jan,16 Jan,16 Jan,17 Jan,17 Jan,17 Jan,17 Jan,18 Jan,18 Jan,18 Jan,18 Jan,19 Jan,19 Jan,19 Jan,19 Jan,20 Jan,20 Jan,20 Jan,20 Jan,21 Jan,21 Jan,21 Jan,21 Jan,22 Jan,22 Jan,22 Jan,22 Jan,23 Jan,23 Jan,23 Jan,23 Jan,24 Jan,24 Jan,24 Jan,24 Jan,25 Jan,25 Jan,25 Jan,25 Jan,26 Jan,26 Jan,26 Jan,26 Jan,27 Jan,27 Jan,27 Jan,27 Jan,28 Jan,28 Jan,28 Jan,28 Jan,29 Jan,29 Jan,29 Jan,29 Jan,30 Jan,30 Jan,30 Jan,30 Jan,31 Jan,31 Jan,31 Jan,31 Jan
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,1.82k,1.82k,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,209,,209,,,,,,,,,,,,,,628,628,,,,,,,,,,,1.64k,1.64k,,,227,227,,,,,,,783,,783,,,,,,465,465,,,,,,,,,,,,,,,205,205,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,1.43k,,1.43k,,1.47k,,1.47k,,1.47k,,1.47k,,804,,804,,15.5,,15.5,,,,,,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,278,,146,,146,
Assam,,,,,,,,,164,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,690,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67k,2.67k,,,5.89k,5.89k,,,,,,,13.3k,13.3k,,,,,,,,,,,21.7k,21.7k,,,,,,,20.3k,20.3k,,,,,,,27.5k,27.5k,,,13.2k,13.2k,,,30.3k,30.3k,,,1.66k,1.66k,,,25.8k,25.8k,,,27.2k,27.2k,,,30.1k,30.1k,,,33.7k,33.7k,,,32.1k,32.1k,,,33.4k,33.4k,,,33.5k,33.5k,,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,,556,,82.1,,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,,,,,22.7,,22.7,,,,,,,,,,211,211,,,,,,,,,,,,,,,,,,,,,,,34.5k,34.5k,,,12.5k,12.5k,,,7.89k,7.89k,,,20.8k,20.8k,,,32.3k,32.3k,,,,,,,22.7k,22.7k,,,18.0k,18.0k,,,22.6k,22.6k,,,30.2k,30.2k,,,33.3k,33.3k,,,16.9k,16.9k,,,46.8k,46.8k,,,11.4k,11.4k,,,641k,29.5k,21.7,,26.9k,26.9k,,,32.9k,32.9k,,,35.8k,35.8k,,,42.9k,42.9k,,,35.2k,35.2k,,,37.9k,37.9k,,
Daman and Diu,163,,163,,19.2,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,432,105,,216,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,424,34.5,,,,,,,,,,,,,,,,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,,,,,,,,,,,,,975,975,,,,,,,,,,,,,,,,,,,13.2,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,,74.6,,,,,,,,,,,,,,,,,,19.7,,19.7,,,,,,,,,,,,,,,,,
Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23k,,1.23k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,743,,264,,264,,,,,,,,,,,,,,,,,,245,,245,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,41.5,,,,,,,,,,,,,,,,,,,,,,174,,174,,,,,,,,,,,,,,,,,,,,,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,39.5,,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,,,,,,,,,107,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,205,,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,34.1,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,68.5,,3.23k,,3.23k,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,,,,,644,,644,,346,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,,58.1,,58.1,,,,,,,,,,,,,
Nagaland,242,,242,,352,,352,,65.9,,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,637,,1.04k,,1.04k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,,,,,168,,168,,205,,205,,,,,,,,,,,,,,,,,,,,,,,,,,117,,117,,,,,,,,,,,,,,58.3,,58.3,,74.3,,74.3,,,,,,,,,,67.8,,67.8,,,,,,40.9,,40.9,,917,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,600,,,,,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,37.9,,,,,,,,,,42.7,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,,,,,60.6,,60.6,,80.8,,80.8,,,,,,,,,,,,,,409,409,,,,,,,,,,,,,,,2.06k,,2.06k,,,,,,2.26k,,2.26k,,,,,,,,,,,,,,225,225,,,330,,330,,,,,,,,,,,,,,,,,,,,,,,,,,3.41k,,3.41k,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,424,,158,,158,,,,,,,,,,,,,,,,,,139,,139,,,,,,,,,,,,,,,,,
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,