Region,1 Sep 2016,1 Sep 2016,1 Sep 2016,1 Sep 2016,2 Sep 2016,2 Sep 2016,2 Sep 2016,2 Sep 2016,3 Sep 2016,3 Sep 2016,3 Sep 2016,3 Sep 2016,4 Sep 2016,4 Sep 2016,4 Sep 2016,4 Sep 2016,5 Sep 2016,5 Sep 2016,5 Sep 2016,5 Sep 2016,6 Sep 2016,6 Sep 2016,6 Sep 2016,6 Sep 2016,7 Sep 2016,7 Sep 2016,7 Sep 2016,7 Sep 2016,8 Sep 2016,8 Sep 2016,8 Sep 2016,8 Sep 2016,9 Sep 2016,9 Sep 2016,9 Sep 2016,9 Sep 2016,10 Sep 2016,10 Sep 2016,10 Sep 2016,10 Sep 2016,11 Sep 2016,11 Sep 2016,11 Sep 2016,11 Sep 2016,12 Sep 2016,12 Sep 2016,12 Sep 2016,12 Sep 2016,13 Sep 2016,13 Sep 2016,13 Sep 2016,13 Sep 2016,14 Sep 2016,14 Sep 2016,14 Sep 2016,14 Sep 2016,15 Sep 2016,15 Sep 2016,15 Sep 2016,15 Sep 2016,16 Sep 2016,16 Sep 2016,16 Sep 2016,16 Sep 2016,17 Sep 2016,17 Sep 2016,17 Sep 2016,17 Sep 2016,18 Sep 2016,18 Sep 2016,18 Sep 2016,18 Sep 2016,19 Sep 2016,19 Sep 2016,19 Sep 2016,19 Sep 2016,20 Sep 2016,20 Sep 2016,20 Sep 2016,20 Sep 2016,21 Sep 2016,21 Sep 2016,21 Sep 2016,21 Sep 2016,22 Sep 2016,22 Sep 2016,22 Sep 2016,22 Sep 2016,23 Sep 2016,23 Sep 2016,23 Sep 2016,23 Sep 2016,24 Sep 2016,24 Sep 2016,24 Sep 2016,24 Sep 2016,25 Sep 2016,25 Sep 2016,25 Sep 2016,25 Sep 2016,26 Sep 2016,26 Sep 2016,26 Sep 2016,26 Sep 2016,27 Sep 2016,27 Sep 2016,27 Sep 2016,27 Sep 2016,28 Sep 2016,28 Sep 2016,28 Sep 2016,28 Sep 2016,29 Sep 2016,29 Sep 2016,29 Sep 2016,29 Sep 2016,30 Sep 2016,30 Sep 2016,30 Sep 2016,30 Sep 2016
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,955,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,,,,,31.6k,11.9k,19.7k,,7.39k,7.39k,,,209,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64k,,,2.64k,1.81k,,,1.81k
Bihar,419,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,1.05k,1.05k,,,1.22k,1.22k,,,,,,,2.14k,,2.14k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56k,4.56k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,202,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,,,,,,,,,,,,,1.35k,,1.35k,,,,,,,,,,5.71k,5.71k,,,3.68k,3.68k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07k,,,1.07k,,,,
Dadra and Nagar Haveli,1.67k,1.67k,,,238,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,2.79k,2.79k,,,3.43k,3.43k,,,1.07k,1.07k,,,3.31k,,3.31k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,15.8k,15.8k,,,,,,,6.92k,6.92k,,,,,,,,,,,,,,,541,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,688,,,,,,,,,,,,,,,,,,,,,,,1.57k,,,1.57k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,,5.13,,41.7,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90k,,2.90k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,207,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,8.08k,8.08k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,,,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,909,,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07k,,,1.07k,,,,,,,,,484,484,,,2.66k,,,2.66k
Maharashtra,,,,,489,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,518,,,,,,
Manipur,,,,,,,,,67.9k,67.9k,,,29.7k,29.7k,,,8.94k,8.94k,,,,,,,,,,,6.70k,6.70k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,,,,,,,,,7.32k,7.32k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,,,,,,,,,63.9k,63.9k,,,12.3k,12.3k,,,10.0k,10.0k,,,446,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,214,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,3.20k,3.20k,,,4.81k,4.81k,,,3.99k,3.99k,,,2.86k,1.53k,1.32k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,,,,,16.7k,16.7k,,,16.5k,16.5k,,,8.39k,8.39k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,20.7,,,,,,,,,,,,,,,,,,994,,994,,,,,,,,,,,,,,,,,,,,,,228,228,,,,,,
Puducherry,,,,,,,,,,,,,6.85k,6.85k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,203,203,,,,,,,,,,,294,,294,,,,,,1.02k,,1.02k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,,,,,,,,,45.2k,45.2k,,,2.19k,,2.19k,,10.5k,10.5k,,,,,,,226,226,,,516,516,,,,,,,452,452,,,438,438,,,,,,,452,452,,,,,,,,,,,226,226,,,,,,,,,,,774,774,,,1.90k,1.90k,,,,,,,267,267,,,,,,,,,,,,,,,,,,,,,,,,,,,645,645,,,,,,
Tamil Nadu,951,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,60.9k,60.9k,,,,,,,67.2k,67.2k,,,12.4k,12.4k,,,9.53k,9.53k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,235,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22k,,1.22k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.08k,6.08k,,,4.63k,4.63k,,,2.85k,2.85k,,,,,,,,,,,,,,,537,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,759,,,,,,,2.23k,,2.23k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,