Region,1-8 Aug,1-8 Aug,1-8 Aug,1-8 Aug,9-16 Aug,9-16 Aug,9-16 Aug,9-16 Aug,17-24 Aug,17-24 Aug,17-24 Aug,17-24 Aug,25-31 Aug,25-31 Aug,25-31 Aug,25-31 Aug,1-8 Dec,1-8 Dec,1-8 Dec,1-8 Dec,9-16 Dec,9-16 Dec,9-16 Dec,9-16 Dec,17-24 Dec,17-24 Dec,17-24 Dec,17-24 Dec,25-31 Dec,25-31 Dec,25-31 Dec,25-31 Dec,1-8 Apr,1-8 Apr,1-8 Apr,1-8 Apr,9-15 Apr,9-15 Apr,9-15 Apr,9-15 Apr,16-23 Apr,16-23 Apr,16-23 Apr,16-23 Apr,24-30 Apr,24-30 Apr,24-30 Apr,24-30 Apr
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,9.11k,9.11k,,,87.9k,87.9k,,,5.11k,5.11k,,,7.20k,7.20k,,,,,,,5.41k,227,5.18k,,,,,,,,,,26.8M,238,113k,,199k,199k,,,1.85k,1.85k,,,21.1,,21.1,
Andhra Pradesh,,,,,,,,,984,,,984,,,,,,,,,8.25k,,8.25k,,,,,,,,,,13.3k,,13.3k,,,,,,2.64k,,,2.64k,,,,
Arunachal Pradesh,1.11k,1.11k,,,231,231,,,7.18k,,7.18k,,,,,,1.04k,1.04k,,,,,40.6k,,,,,,5.49k,,5.49k,,,,,,22.2k,,22.2k,,,,,,12.7k,,12.7k,
Assam,,,,,,,,,5.69k,,5.69k,,,,,,119,,119,,10.6k,,10.6k,,14.9k,,14.9k,,,,,,,,,,,,,,,,,,305,,305,
Bihar,,,,,,,,,,,,,,,,,,,,,5.03k,,5.03k,,,,,,,,,,,,,,25.1,,25.1,,,,,,,,,
Chandigarh,,,,,27.2,,27.2,,17.9k,,17.9k,,,,,,,,,,,,,,,,,,,,,,17.9k,,17.9k,,,,,,,,,,,,,
Chhattisgarh,91.2,,91.2,,296,212,84.5,,45.9k,,45.9k,,,,,,187,,187,,,,,,15.2k,,15.2k,,,,,,,,,,,,,,,,,,13.6k,,13.6k,
Dadra and Nagar Haveli,,,,,526,526,,,,,,,37.8k,,37.8k,,,,,,214,,214,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,1.63k,,1.63k,,76.1k,,76.1k,,,,,,,,,,,,,,216,216,,,,,,,4.15k,,4.15k,,,,,,,,,,,,,,28.8k,,28.8k,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,5.34k,,5.34k,,,,,,,,,,,,,,2.49k,,,2.49k,,,,
Goa,11.4k,11.4k,,,714,,714,,,,,,,,,,,,,,,,,,,,,,,,,,28.0k,,28.0k,,,,,,,,,,25.6k,,25.6k,
Gujarat,,,,,,,,,,,,,,,,,,,,,109,,109,,,,,,,,,,,,,,2.30k,,,2.30k,2.56k,,,2.56k,5.15k,,5.15k,
Haryana,56.6,,56.6,,51.9,,51.9,,44.1k,,44.1k,,,,,,,,,,,,,,,,,,,,,,7.89k,,7.89k,,97.2,,97.2,,109,,32.8,76.3,201,,201,
Himachal Pradesh,,,,,,,,,14.3k,,14.3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3k,,13.3k,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,13.0k,,13.0k,,,,,,,,,,,,,,,,,,,,,,21.1k,,21.1k,
Jharkhand,,,,,,,,,101k,,101k,,,,,,,,,,,,,,,,,,,,,,,,,,15.2k,,15.2k,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,6.51k,,6.51k,,,,,,9.51k,,9.51k,,,,,,,,,,458k,,,458k,,,,
Kerala,,,,,497,408,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,14.7,,77.9M,146k,,1.37k,2.95k,,10.2,2.94k,,,,
Lakshadweep,,,,,,,,,178k,,178k,,,,,,,,,,,,,,,,,,,,,,636k,,636k,,556k,,556k,,442k,,442k,,,,,
Madhya Pradesh,132,,132,,49.3,,49.3,,16.9,,16.9,,,,,,,,,,5.75k,,5.75k,,,,,,,,,,,,,,228,,,228,84.2,,,84.2,,,,
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49k,,,2.49k,,,,
Manipur,65.0,,65.0,,34.1,,34.1,,40.7,,40.7,,,,,,,,,,8.17k,,8.17k,,,,,,364,,364,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7k,,81.7k,,,,,,63.1k,,63.1k,
Mizoram,28.3k,28.3k,,,,,,,3.40M,7.23k,618,,,,,,,,,,,,,,,,,,,,,,,,,,155k,155k,,,,,,,22.5k,,22.5k,
Nagaland,132,,132,,,,,,18.1k,,18.1k,,,,,,,,,,,,,,,,,,,,,,30.7k,,30.7k,,,,,,,,,,105k,,105k,
Orissa,7.01k,,3.25k,3.76k,6.84k,,6.84k,,6.28k,,6.28k,,,,,,592,,592,,7.66k,,7.66k,,,,,,36.7,,36.7,,313,,313,,17.4,,17.4,,93.3,,93.3,,2.38k,,2.38k,
Puducherry,,,,,,,,,,,,,,,,,1.19k,1.19k,,,5.51k,,5.51k,,,,,,83.6,,83.6,,,,,,136k,136k,,,8.47k,,8.47k,,,,,
Punjab,,,,,103,,103,,,,,,,,,,46.3,,46.3,,4.46k,,4.46k,,,,,,,,,,3.82k,,3.82k,,2.30k,,,2.30k,,,,,,,,
Rajasthan,,,,,11.1,,11.1,,,,,,,,,,16.0k,,16.0k,,6.07k,,6.07k,,,,,,,,,,,,,,358k,,,358k,2.64k,,,2.64k,15.4k,,15.4k,
Sikkim,4.14k,4.14k,,,4.35k,4.35k,,,497,497,,,2.77k,2.77k,,,,,,,,,,,209,209,,,253k,693,1.13k,,,,,,,,,,,,,,137k,,137k,
Tamil Nadu,46.3,,46.3,,43.8,,43.8,,27.4,,27.4,,116,,116,,75.1,,75.1,,4.69k,,4.69k,,,,,,,,,,4.63k,,4.63k,,60.0,,60.0,,2.51k,,19.5,2.49k,29.4,,29.4,
Tripura,256,,256,,,,,,459,,459,,,,,,,,,,,,,,,,,,797,,797,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,276,,7.41k,,7.41k,,,,,,2.59k,,,2.59k,12.4,,12.4,
Uttaranchal,,,,,356,,356,,26.6k,,26.6k,,,,,,,,,,105,,105,,,,,,,,,,19.7k,,19.7k,,,,,,,,,,13.3k,,13.3k,
West Bengal,,,,,10.7,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,33.5,,2.51k,,,2.51k,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28k,,6.28k,,,,,,17.9k,,17.9k,,,,,